Fecha,LugarAccidente,Operador,OrigenDestino,TipoAeronave,TotalAbordo,TripulacionAbordo,PasajerosAbordo,TotalFallecidos,TripulacionFallecida,PasajerosFallecidos,FallecidosEnTierra,Longitud,Latitud
2001-02-08 00:00:00,"Beaver Island, Minnesota",Northern Illinois Flight Center,Chicago - Beaver Island,Swearingen SA.227AT Merlin IVC,6,2,4,2,2,0,0,-91.48804110467192,48.0635145
2001-02-10 00:00:00,"Jakobkondre, Suriname",Gum Air Charter,Paramaribo - Jakobkondre,GAF Nomad N24A,10,1,9,10,1,9,0,-56.0771187,4.1413025
2001-02-27 00:00:00," Granton Harbour, Scotland",Loganair,Edinburgh - Belfast,Shorts 360-100,2,2,0,2,2,0,0,-3.2281112,55.9835467
2001-03-03 00:00:00,"Unadilla, Georgia",Military - Florida Army National Guard,"Fort Walton Beach, Fl - Oceana Naval Air Station, VA",Short 360,21,3,18,21,3,18,0,-83.7364358,32.2617378
2001-03-03 00:00:00,"Bangkok, Thailand",Thai Airways,Bangkok - Chiang Mai.,Boeing B-737-4D7,5,5,0,1,1,0,0,100.4935089,13.7524938
2001-03-15 00:00:00,"Medina, Saudi Arabia",Vnukovo Airlines,Istanbul - Moscow,Tupolev 154M,174,12,162,3,1,2,0,39.6111216,24.471153
2001-03-24 00:00:00,"Gustavia, St. Barthélémy, French West Indies",Air Caraibes,St. Maarten - St. Barthélémy,de Havilland Canada DHC-6 Twin Otter,19,2,17,19,2,17,1,-61.5639255,16.2500695
2001-03-26 00:00:00,"Jadura, Indonesia",Merpati Nusantara Airlines,Training,Fokker F-27 Friendship 500F,3,3,0,3,3,0,0,117.8902853,-2.4833826
2001-03-29 00:00:00," Aspen, Colorado",Jetwingsco Inc. - Private Charter,Los Angeles - Aspen,Grummand Gulfstream III,18,3,15,18,3,15,0,-106.8235606,39.1911128
2001-04-04 00:00:00,"Adar Yeil, Sudan",Military - Sudan Air Force,Adar Yeil - Khartoum,Antonov AN-24,30,0,0,14,0,0,0,29.4917691,14.5844444
2001-04-07 00:00:00,"Thanh Tranh Village, Vietnam",SFC Vietnam - Charter - Full Account,Vinh - Dong Hoi - Hue,Mil Mi-18 Helicopter,16,3,13,16,3,13,0,107.9650855,15.9266657
2001-04-28 00:00:00," Roque Perez, Argentina",Private - Techint  group,San Fernando - El Calafate,Cessna  208B Grand Caravan,10,2,8,10,2,8,0,-59.3312128,-35.3964431
2001-05-16 00:00:00,"Malatya, Turkey",Military - Turkish Air Force,Diyarbakir - Ankara,CASA CN-235M-10,34,6,28,34,6,28,0,38.3189466,38.3488506
2001-05-17 00:00:00," Sari, Iran",Faraz Qeshm Airlines,Tehran - Gorgan,Yakovlev YAK-40,30,5,25,30,5,25,0,53.0587229,36.5659598
2001-05-17 00:00:00,"Mendoza, Argentina",Fuerza Aérea Argentina,Mendoza - Parana,Fokker F-27 Friendship 400M,5,5,0,5,5,0,0,-68.43818677312292,-34.78709305
2001-05-22 00:00:00," Myakotino, Russia",Military - Russian Air Force,Rzhevsk - Morsansk,Antonov 12MGA,7,7,0,7,7,0,0,97.7453061,64.6863136
2001-06-15 00:00:00,"Jayapura, Indonesia",Manunggal Air,Jayapura - Wamena,Transall C-160NG,19,3,16,1,0,1,0,140.7037389,-2.5387539
2001-07-04 00:00:00," Irkutsk, Russia",Vladivostokavia,Yekaterinburg - Irkutsk - Vladivostok,Tupolev TU-154M,145,9,136,145,9,136,0,104.719221,56.6370122
2001-07-05 00:00:00," Chinhae, South Korea",Private  - Daewoo Shipbuilding,Jinhae - Ockpo,Sikorsky S-76B helicopter,12,3,9,8,1,7,0,127.6961188,36.638392
2001-07-12 00:00:00," Puerto Cabello, Venezuela",Private - Overtec Company,Puerto Cabello - Caracas,Antonov AN-28 PZL-Mielec M-28 Sky Truck,13,3,10,13,3,10,0,-68.0436682,10.4677932
2001-07-14 00:00:00," Moscow, Russia",Russ Air Transport Company,Moscow - Norilsk,Ilyushin IL-76,10,10,0,10,10,0,0,37.6174943,55.7504461
2001-08-05 00:00:00,"Reykjavík, Iceland",Naske Air,"Reykjavík, Iceland - Narsarsua, Greenland",Dassault Falcon 20C,3,2,1,3,2,1,0,-21.9422367,64.145981
2001-08-10 00:00:00," Meadview, Arizona",Papillon Grand Canyon Helicopters of Las Vegas,Grand Canyon NP - Las Vegas,Aerospatiale AS350 Eurocopter  helicoper,7,1,6,6,1,5,0,-114.0682936,36.0022091
2001-08-23 00:00:00,"Mugogo, Democratic Republic Congo",Victoria Airlines,Kama - Kapmene,Antonov 28,11,2,9,4,2,2,0,23.8222636,-2.9814344
2001-08-24 00:00:00,"Ithaca, New York",Ameristar Jet Charter,"Ithaca, NY - Jackson, MI",Learjet 25,2,2,0,2,2,0,0,-76.4968019,42.4396039
2001-08-24 00:00:00,"Lajes, Terceira, Azores",Air Transat,Toronto - Lisbon,Airbus A-330-243,304,13,291,0,0,0,0,-25.47313739124529,37.80855645
2001-08-29 00:00:00," Malaga, Spain",Binter Mediterráneo,Melilla - Málaga,CASA  CN-235-200,47,3,44,4,1,3,0,-4.4216366,36.7213028
2001-09-11 00:00:00,"Arlington, Virginia.",American Airlines,Washington D.C. - Los Angeles,Boeing B-757-223,64,6,58,64,6,58,125,-77.0893094,38.8769326
2001-09-11 00:00:00,"New York City, New York",American Airlines,Boston - Los Angeles,Boeing 767-223ER,92,11,81,92,11,81,2750,-73.9527658,40.7830439
2001-09-11 00:00:00,"New York City, New York",United Air Lines,Boston - Los Angeles,Boeing B-767-222,65,9,56,65,9,56,2750,-73.9527658,40.7830439
2001-09-11 00:00:00,"Shanksville, Pennsylvania",United Air Lines,Newark - San Francisco,Boeing B-757-222,44,7,37,44,7,37,0,-78.9071878,40.0175017
2001-09-12 00:00:00," Chichen Itza, Mexico",Aero Ferinco Charter,Chichen Itza - Cozumel,LET 410UVP,19,2,17,19,2,17,0,-88.5687196355205,20.68285195
2001-09-15 00:00:00,"Belo Horizonte, Brazil",TAM (Brazil),Recife  - Sao Paulo,Fokker 100,82,5,77,1,0,1,0,-43.9450948,-19.9227318
2001-09-18 00:00:00,"Guatemala City, Guatemala",Atlantic Airlines,"Guatemala City - San Pedro Sula, Honduras",LET 410UVP-E,13,2,11,9,1,8,0,-90.5185188,14.6222328
2001-10-04 00:00:00,"110 miles SW of Sochi, Russia",Sibir Airlines,"Tel Aviv -  Novosibirsk, Russia",Tupolev Tu-154M,78,12,66,78,12,66,0,97.7453061,64.6863136
2001-10-08 00:00:00,"Mollet Lake, Quebec, Canada",Air Saint Maurice Inc.,Iyachisakus Lake - Mollet Lake,de Havilland DHC-2 Mk 1 Beaver,7,1,6,3,1,2,0,-107.991707,61.0666922
